,a,b,c,d,e,f,X,Y,Sum_Total,Sum_ml,slots_usage
0,0,0,8,0,2,16,328,104,26,432,3
1,0,0,8,0,6,7,328,104,21,432,3
2,0,0,8,1,2,7,328,104,18,432,4
3,0,0,12,0,1,24,420,156,37,576,3
4,0,0,12,0,1,33,564,156,46,720,3
5,0,0,12,0,5,15,420,156,32,576,3
6,0,0,12,0,5,24,564,156,41,720,3
7,0,0,12,0,9,6,420,156,27,576,3
8,0,0,12,0,9,15,564,156,36,720,3
9,0,0,12,0,13,6,564,156,31,720,3
10,0,0,12,1,1,15,420,156,29,576,4
11,0,0,12,1,1,24,564,156,38,720,4
12,0,0,12,1,5,6,420,156,24,576,4
13,0,0,12,1,5,15,564,156,33,720,4
14,0,0,12,1,9,6,564,156,28,720,4
15,0,0,12,2,1,6,420,156,21,576,4
16,0,0,12,2,1,15,564,156,30,720,4
17,0,0,12,2,5,6,564,156,25,720,4
18,0,0,12,3,1,6,564,156,22,720,4
19,0,0,16,0,0,32,512,208,48,720,2
20,0,0,16,0,0,41,656,208,57,864,2
21,0,0,16,0,4,23,512,208,43,720,3
22,0,0,16,0,4,32,656,208,52,864,3
23,0,0,16,0,4,41,800,208,61,1008,3
24,0,0,16,0,8,14,512,208,38,720,3
25,0,0,16,0,8,23,656,208,47,864,3
26,0,0,16,0,8,32,800,208,56,1008,3
27,0,0,16,0,12,5,512,208,33,720,3
28,0,0,16,0,12,14,656,208,42,864,3
29,0,0,16,0,12,23,800,208,51,1008,3
30,0,0,16,0,16,5,656,208,37,864,3
31,0,0,16,0,16,14,800,208,46,1008,3
32,0,0,16,0,20,5,800,208,41,1008,3
33,0,0,16,1,0,23,512,208,40,720,3
34,0,0,16,1,0,32,656,208,49,864,3
35,0,0,16,1,0,41,800,208,58,1008,3
36,0,0,16,1,4,14,512,208,35,720,4
37,0,0,16,1,4,23,656,208,44,864,4
38,0,0,16,1,4,32,800,208,53,1008,4
39,0,0,16,1,8,5,512,208,30,720,4
40,0,0,16,1,8,14,656,208,39,864,4
41,0,0,16,1,8,23,800,208,48,1008,4
42,0,0,16,1,12,5,656,208,34,864,4
43,0,0,16,1,12,14,800,208,43,1008,4
44,0,0,16,1,16,5,800,208,38,1008,4
45,0,0,16,2,0,14,512,208,32,720,3
46,0,0,16,2,0,23,656,208,41,864,3
47,0,0,16,2,0,32,800,208,50,1008,3
